moderation status: j_SLaNRf_xo  ,  
moderation status: j_SLaNRf_xo  ,  
moderation status(vid id, mod status): j_SLaNRf_xo  ,  
moderation status(vid id, mod status): j_SLaNRf_xo  ,  
moderation status(vid id, mod status): YCVeYWVQ03g  ,  
moderation status(vid id, mod status): SiIHam5adVo  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   4iVshVT4YmE  ,  20:42:09  ,  
moderation status(channel id, vid id, time,  mod status): UCHfZgL6QeO4JtvjfKbW_Mpg  ,   qHqxH03cpp4  ,  21:02:44  ,  
moderation status(channel id, vid id, time,  mod status): UClFSU9_bUb4Rc6OYfTt5SPw  ,   b7frDFkW05k  ,  21:02:45  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   NZMIc3w-Llc  ,  23:37:49  ,  
moderation status(channel id, vid id, time,  mod status): UC1NB1xUQ8ItM5VoA4101lUQ  ,   ZxIF7VRXD6U  ,  04:30:11  ,  
moderation status(channel id, vid id, time,  mod status): UCtinbF-Q-fVthA0qrFQTgXQ  ,   vXUIqoiqHIM  ,  12:05:50  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   7HHjeMSGC0Y  ,  15:07:45  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   vLNciRbp29Y  ,  15:07:47  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   Ua61ltayFNg  ,  15:38:07  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   iYygNywP0xs  ,  16:08:29  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   MoUskQXic-Q  ,  16:18:37  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   i8x3X4x1CBI  ,  18:20:05  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   Ls4LmIHGXoY  ,  19:54:37  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCX6OQ3DkcsbYNE6H8uQQuVA  ,   8D3vI1615K4  ,  23:37:25  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   Owpo-xHHhyU  ,  01:18:25  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   i5fgEnoFMvI  ,  02:39:08  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   FERKuIssc7A  ,  03:29:36  ,  
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   JQ-e-bc8Jho  ,  03 15:07:48  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   rB97W6Mq3Kg  ,  03 16:08:29  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   AE-lhrJB3hE  ,  03 18:50:25  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   fgxBZ6aCO3s  ,  03 19:00:34  ,  
moderation status(channel id, vid id, time,  mod status): UCHfZgL6QeO4JtvjfKbW_Mpg  ,   nSqkdp8SMDc  ,  03 19:40:04  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   eSh7efnQfVc  ,  04 17:31:43  ,  
moderation status(channel id, vid id, time,  mod status): UCmlsu3V3SzIm2Jmo0S0qiMg  ,   Mghg_xQIJx0  ,  04 18:24:04  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   HTmzabf1i94  ,  04 20:38:09  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   6Qv8YLoYyyQ  ,  04 21:11:08  ,  
